MatrixPopulation,MatrixStartYear,MatrixClassNumber,N
A,1993,1,13
A,1993,2,14
A,1993,3,28
A,1993,4,37
A,1994,1,7
A,1994,2,7
A,1994,3,20
A,1994,4,50
A,1995,1,4
A,1995,2,8
A,1995,3,35
A,1995,4,34
A,1996,1,9
A,1996,2,8
A,1996,3,37
A,1996,4,26
A,1997,1,7
A,1997,2,5
A,1997,3,24
A,1997,4,35
B,1993,1,5
B,1993,2,7
B,1993,3,11
B,1993,4,39
B,1994,1,21
B,1994,2,8
B,1994,3,10
B,1994,4,42
B,1995,1,9
B,1995,2,24
B,1995,3,15
B,1995,4,41
B,1996,1,2
B,1996,2,20
B,1996,3,13
B,1996,4,42
B,1997,1,14
B,1997,2,18
B,1997,3,9
B,1997,4,47
